Province_State,Lat,Long_,Confirmed,Deaths
Alabama,32.3182,-86.9023,1120881,16824
Alaska,61.3707,-152.4044,195345,1051
American Samoa,-14.271,-170.132,18,0
Arizona,33.7298,-111.4312,1701949,25502
Arkansas,34.9697,-92.3731,726716,9484
California,36.1162,-119.6816,7643131,78398
Colorado,39.0598,-105.3111,1312046,11744
Connecticut,41.5978,-72.7554,671674,9769
Delaware,39.3185,-75.5071,236022,2457
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,127200,1267
Florida,27.7663,-81.6868,5323337,63763
Georgia,33.0406,-83.6431,2229675,32294
Grand Princess,,,103,3
Guam,13.4443,144.7937,26851,276
Hawaii,21.0943,-157.4983,195151,1137
Idaho,44.2405,-114.4788,356112,4323
Illinois,40.3495,-88.9861,2773401,33415
Indiana,39.8494,-86.2583,1524527,20751
Iowa,42.0115,-93.2105,669705,8317
Kansas,38.5266,-96.7265,679905,7320
Kentucky,37.6681,-84.6701,1056284,12687
Louisiana,31.1695,-91.8678,1060022,15324
Maine,44.6939,-69.3819,165691,1693
Maryland,39.0639,-76.8021,947784,13022
Massachusetts,42.2302,-71.5301,1535901,17819
Michigan,43.3266,-84.5361,2124186,31499
Minnesota,45.6945,-93.9002,1216734,11291
Mississippi,32.7416,-89.6787,681382,10721
Missouri,38.4561,-92.2884,1255363,17241
Montana,46.9219,-110.4544,222093,2976
Nebraska,41.1254,-98.2681,413056,3569
Nevada,38.3135,-117.0554,614505,8735
New Hampshire,43.4525,-71.5639,257795,2135
New Jersey,40.2989,-74.521,2049573,30618
New Mexico,34.8405,-106.2485,437927,6258
New York,42.1657,-74.9481,4653025,63098
North Carolina,35.6301,-79.8064,2212752,20193
North Dakota,47.5289,-99.784,210540,2114
Northern Mariana Islands,15.0979,145.6739,4166,21
Ohio,40.3888,-82.7649,2480566,35067
Oklahoma,35.5653,-96.9289,880342,12968
Oregon,44.572,-122.0709,570892,5936
Pennsylvania,40.5908,-77.2098,2542816,39362
Puerto Rico,18.2208,-66.5901,432935,3631
Rhode Island,41.6809,-71.5118,327109,3240
South Carolina,33.8569,-80.945,1265710,15108
South Dakota,44.2998,-99.4388,216656,2601
Tennessee,35.7478,-86.6923,1750578,22030
Texas,31.0545,-97.5635,5821021,77833
Utah,40.15,-111.8624,825989,4030
Vermont,44.0459,-72.7107,96415,514
Virgin Islands,18.3358,-64.8963,14301,95
Virginia,37.7693,-78.17,1451713,15852
Washington,47.4009,-121.4905,1152026,10401
West Virginia,38.4912,-80.9545,407131,5609
Wisconsin,44.2685,-89.6165,1446207,11946
Wyoming,42.756,-107.3025,135369,1601
Alabama,32.3182,-86.9023,1104356,16792
Alaska,61.3707,-152.4044,188812,1051
American Samoa,-14.271,-170.132,18,0
Arizona,33.7298,-111.4312,1683915,25429
Arkansas,34.9697,-92.3731,713643,9470
California,36.1162,-119.6816,7564994,78225
Colorado,39.0598,-105.3111,1301903,11711
Connecticut,41.5978,-72.7554,667230,9683
Delaware,39.3185,-75.5071,233843,2450
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,126187,1263
Florida,27.7663,-81.6868,5242386,63569
Georgia,33.0406,-83.6431,2211004,32206
Grand Princess,,,103,3
Guam,13.4443,144.7937,25757,276
Hawaii,21.0943,-157.4983,190678,1135
Idaho,44.2405,-114.4788,352411,4317
Illinois,40.3495,-88.9861,2732731,33250
Indiana,39.8494,-86.2583,1506866,20637
Iowa,42.0115,-93.2105,669705,8317
Kansas,38.5266,-96.7265,660627,7293
Kentucky,37.6681,-84.6701,1040420,12659
Louisiana,31.1695,-91.8678,1050080,15283
Maine,44.6939,-69.3819,164324,1691
Maryland,39.0639,-76.8021,942772,12943
Massachusetts,42.2302,-71.5301,1519783,17724
Michigan,43.3266,-84.5361,2082983,31275
Minnesota,45.6945,-93.9002,1204929,11255
Mississippi,32.7416,-89.6787,673873,10707
Missouri,38.4561,-92.2884,1240160,17025
Montana,46.9219,-110.4544,220090,2966
Nebraska,41.1254,-98.2681,407804,3562
Nevada,38.3135,-117.0554,607857,8708
New Hampshire,43.4525,-71.5639,254715,2123
New Jersey,40.2989,-74.521,2037690,30476
New Mexico,34.8405,-106.2485,431887,6229
New York,42.1657,-74.9481,4624257,62873
North Carolina,35.6301,-79.8064,2177357,20108
North Dakota,47.5289,-99.784,208028,2107
Northern Mariana Islands,15.0979,145.6739,4119,21
Ohio,40.3888,-82.7649,2460869,34928
Oklahoma,35.5653,-96.9289,866403,12927
Oregon,44.572,-122.0709,559960,5916
Pennsylvania,40.5908,-77.2098,2523956,39093
Puerto Rico,18.2208,-66.5901,428009,3593
Rhode Island,41.6809,-71.5118,324234,3224
South Carolina,33.8569,-80.945,1249632,15053
South Dakota,44.2998,-99.4388,214473,2582
Tennessee,35.7478,-86.6923,1732533,21912
Texas,31.0545,-97.5635,5753183,77642
Utah,40.15,-111.8624,814388,4019
Vermont,44.0459,-72.7107,93492,507
Virgin Islands,18.3358,-64.8963,14158,94
Virginia,37.7693,-78.17,1434686,15853
Washington,47.4009,-121.4905,1135778,10339
West Virginia,38.4912,-80.9545,401796,5590
Wisconsin,44.2685,-89.6165,1433225,11867
Wyoming,42.756,-107.3025,133495,1601
Alabama,32.3182,-86.9023,551298,11358
Alaska,61.3707,-152.4044,71384,377
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,896960,17979
Arkansas,34.9697,-92.3731,350579,5913
California,36.1162,-119.6816,3886804,63187
Colorado,39.0598,-105.3111,564540,6896
Connecticut,41.5978,-72.7554,349476,8279
Delaware,39.3185,-75.5071,109875,1695
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,49378,1141
Florida,27.7663,-81.6868,2381148,37985
Georgia,33.0406,-83.6431,1135526,21443
Grand Princess,,,103,3
Guam,13.4443,144.7937,8373,140
Hawaii,21.0943,-157.4983,37995,518
Idaho,44.2405,-114.4788,195172,2158
Illinois,40.3495,-88.9861,1392554,25696
Indiana,39.8494,-86.2583,754724,13863
Iowa,42.0115,-93.2105,374180,6146
Kansas,38.5266,-96.7265,319127,5158
Kentucky,37.6681,-84.6701,465752,7240
Louisiana,31.1695,-91.8678,482560,10757
Maine,44.6939,-69.3819,69121,860
Maryland,39.0639,-76.8021,462596,9749
Massachusetts,42.2302,-71.5301,710138,14509
Michigan,43.3266,-84.5361,1000375,21009
Minnesota,45.6945,-93.9002,605660,7703
Mississippi,32.7416,-89.6787,322186,7419
Missouri,38.4561,-92.2884,629742,9758
Montana,46.9219,-110.4544,113873,1666
Nebraska,41.1254,-98.2681,224682,2261
Nevada,38.3135,-117.0554,334763,5697
New Hampshire,43.4525,-71.5639,99555,1372
New Jersey,40.2989,-74.521,1024225,26473
New Mexico,34.8405,-106.2485,205715,4344
New York,42.1657,-74.9481,2116516,53492
North Carolina,35.6301,-79.8064,1014359,13434
North Dakota,47.5289,-99.784,110525,1559
Northern Mariana Islands,15.0979,145.6739,183,2
Ohio,40.3888,-82.7649,1112289,20559
Oklahoma,35.5653,-96.9289,458483,7388
Oregon,44.572,-122.0709,209037,2781
Pennsylvania,40.5908,-77.2098,1226653,27706
Puerto Rico,18.2208,-66.5901,140301,2552
Rhode Island,41.6809,-71.5118,152643,2730
South Carolina,33.8569,-80.945,597261,9830
South Dakota,44.2998,-99.4388,124592,2038
Tennessee,35.7478,-86.6923,866686,12510
Texas,31.0545,-97.5635,3044265,52388
Utah,40.15,-111.8624,416110,2378
Vermont,44.0459,-72.7107,24419,258
Virgin Islands,18.3358,-64.8963,3895,30
Virginia,37.7693,-78.17,681072,11427
Washington,47.4009,-121.4905,452483,5939
West Virginia,38.4912,-80.9545,164149,2899
Wisconsin,44.2685,-89.6165,677859,8135
Wyoming,42.756,-107.3025,62445,747
Alabama,32.3182,-86.9023,551298,11358
Alaska,61.3707,-152.4044,71384,377
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,897010,17979
Arkansas,34.9697,-92.3731,351825,5920
California,36.1162,-119.6816,3890725,63252
Colorado,39.0598,-105.3111,564974,6902
Connecticut,41.5978,-72.7554,349476,8279
Delaware,39.3185,-75.5071,109891,1695
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,49378,1141
Florida,27.7663,-81.6868,2381148,37985
Georgia,33.0406,-83.6431,1135526,21443
Grand Princess,,,103,3
Guam,13.4443,144.7937,8373,140
Hawaii,21.0943,-157.4983,38043,518
Idaho,44.2405,-114.4788,195172,2158
Illinois,40.3495,-88.9861,1392554,25696
Indiana,39.8494,-86.2583,754724,13863
Iowa,42.0115,-93.2105,374207,6146
Kansas,38.5266,-96.7265,319127,5158
Kentucky,37.6681,-84.6701,465826,7242
Louisiana,31.1695,-91.8678,482560,10757
Maine,44.6939,-69.3819,69121,860
Maryland,39.0639,-76.8021,462634,9751
Massachusetts,42.2302,-71.5301,710138,14509
Michigan,43.3266,-84.5361,1000375,21009
Minnesota,45.6945,-93.9002,605660,7703
Mississippi,32.7416,-89.6787,322186,7419
Missouri,38.4561,-92.2884,630744,9758
Montana,46.9219,-110.4544,113873,1666
Nebraska,41.1254,-98.2681,224682,2261
Nevada,38.3135,-117.0554,334763,5697
New Hampshire,43.4525,-71.5639,99555,1372
New Jersey,40.2989,-74.521,1024311,26477
New Mexico,34.8405,-106.2485,205715,4344
New York,42.1657,-74.9481,2116888,53496
North Carolina,35.6301,-79.8064,1014359,13434
North Dakota,47.5289,-99.784,110531,1559
Northern Mariana Islands,15.0979,145.6739,183,2
Ohio,40.3888,-82.7649,1112499,20564
Oklahoma,35.5653,-96.9289,458483,7388
Oregon,44.572,-122.0709,209037,2781
Pennsylvania,40.5908,-77.2098,1226776,27706
Puerto Rico,18.2208,-66.5901,140301,2552
Rhode Island,41.6809,-71.5118,152643,2730
South Carolina,33.8569,-80.945,597961,9841
South Dakota,44.2998,-99.4388,124592,2038
Tennessee,35.7478,-86.6923,866877,12511
Texas,31.0545,-97.5635,3044615,52388
Utah,40.15,-111.8624,416110,2378
Vermont,44.0459,-72.7107,24419,258
Virgin Islands,18.3358,-64.8963,3895,30
Virginia,37.7693,-78.17,681194,11431
Washington,47.4009,-121.4905,452483,5939
West Virginia,38.4912,-80.9545,164149,2899
Wisconsin,44.2685,-89.6165,678008,8144
Wyoming,42.756,-107.3025,62445,747
Alabama,32.3182,-86.9023,1262018,17571
Alaska,61.3707,-152.4044,232102,1114
American Samoa,-14.271,-170.132,18,0
Arizona,33.7298,-111.4312,1946086,27164
Arkansas,34.9697,-92.3731,806076,10025
California,36.1162,-119.6816,8801199,82454
Colorado,39.0598,-105.3111,1397447,12261
Connecticut,41.5978,-72.7554,712884,10260
Delaware,39.3185,-75.5071,253292,2643
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,132820,1309
Florida,27.7663,-81.6868,5776333,67572
Georgia,33.0406,-83.6431,2434131,34076
Grand Princess,,,103,3
Guam,13.4443,144.7937,39640,306
Hawaii,21.0943,-157.4983,230978,1258
Idaho,44.2405,-114.4788,403137,4552
Illinois,40.3495,-88.9861,2987514,35725
Indiana,39.8494,-86.2583,1664353,22136
Iowa,42.0115,-93.2105,739566,8829
Kansas,38.5266,-96.7265,749022,7720
Kentucky,37.6681,-84.6701,1232297,13300
Louisiana,31.1695,-91.8678,1210398,16176
Maine,44.6939,-69.3819,187697,1828
Maryland,39.0639,-76.8021,992510,13905
Massachusetts,42.2302,-71.5301,1648656,19106
Michigan,43.3266,-84.5361,2324854,33463
Minnesota,45.6945,-93.9002,1388401,11957
Mississippi,32.7416,-89.6787,776717,11558
Missouri,38.4561,-92.2884,1379156,18217
Montana,46.9219,-110.4544,256630,3067
Nebraska,41.1254,-98.2681,450661,3815
Nevada,38.3135,-117.0554,673322,9334
New Hampshire,43.4525,-71.5639,288191,2294
New Jersey,40.2989,-74.521,2144050,32374
New Mexico,34.8405,-106.2485,500516,6658
New York,42.1657,-74.9481,4881825,66431
North Carolina,35.6301,-79.8064,2525734,21665
North Dakota,47.5289,-99.784,234574,2201
Northern Mariana Islands,15.0979,145.6739,7353,23
Ohio,40.3888,-82.7649,2630846,37310
Oklahoma,35.5653,-96.9289,1006846,13847
Oregon,44.572,-122.0709,674500,6355
Pennsylvania,40.5908,-77.2098,2722395,42203
Puerto Rico,18.2208,-66.5901,468605,4025
Rhode Island,41.6809,-71.5118,351844,3376
South Carolina,33.8569,-80.945,1431067,16136
South Dakota,44.2998,-99.4388,232725,2730
Tennessee,35.7478,-86.6923,1969905,23275
Texas,31.0545,-97.5635,6484255,81998
Utah,40.15,-111.8624,910900,4261
Vermont,44.0459,-72.7107,108969,566
Virgin Islands,18.3358,-64.8963,15182,105
Virginia,37.7693,-78.17,1602677,17482
Washington,47.4009,-121.4905,1410596,11316
West Virginia,38.4912,-80.9545,474712,5992
Wisconsin,44.2685,-89.6165,1553551,12877
Wyoming,42.756,-107.3025,152581,1667
Alabama,32.3182,-86.9023,1263072,17571
Alaska,61.3707,-152.4044,232102,1114
American Samoa,-14.271,-170.132,18,0
Arizona,33.7298,-111.4312,1950483,27180
Arkansas,34.9697,-92.3731,806877,10065
California,36.1162,-119.6816,8830551,82515
Colorado,39.0598,-105.3111,1398195,12270
Connecticut,41.5978,-72.7554,712884,10260
Delaware,39.3185,-75.5071,253534,2643
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,132820,1309
Florida,27.7663,-81.6868,5776333,67572
Georgia,33.0406,-83.6431,2434131,34076
Grand Princess,,,103,3
Guam,13.4443,144.7937,39985,306
Hawaii,21.0943,-157.4983,231510,1262
Idaho,44.2405,-114.4788,403137,4552
Illinois,40.3495,-88.9861,2987514,35725
Indiana,39.8494,-86.2583,1664353,22136
Iowa,42.0115,-93.2105,739566,8829
Kansas,38.5266,-96.7265,749022,7720
Kentucky,37.6681,-84.6701,1232297,13300
Louisiana,31.1695,-91.8678,1210398,16176
Maine,44.6939,-69.3819,187697,1828
Maryland,39.0639,-76.8021,993228,13917
Massachusetts,42.2302,-71.5301,1648656,19106
Michigan,43.3266,-84.5361,2324854,33463
Minnesota,45.6945,-93.9002,1388401,11957
Mississippi,32.7416,-89.6787,776717,11558
Missouri,38.4561,-92.2884,1379156,18217
Montana,46.9219,-110.4544,256630,3067
Nebraska,41.1254,-98.2681,450661,3815
Nevada,38.3135,-117.0554,673322,9334
New Hampshire,43.4525,-71.5639,288191,2294
New Jersey,40.2989,-74.521,2145147,32380
New Mexico,34.8405,-106.2485,500516,6658
New York,42.1657,-74.9481,4886180,66523
North Carolina,35.6301,-79.8064,2525734,21665
North Dakota,47.5289,-99.784,234685,2201
Northern Mariana Islands,15.0979,145.6739,7530,23
Ohio,40.3888,-82.7649,2632336,37376
Oklahoma,35.5653,-96.9289,1006846,13847
Oregon,44.572,-122.0709,674500,6355
Pennsylvania,40.5908,-77.2098,2724802,42203
Puerto Rico,18.2208,-66.5901,469285,4030
Rhode Island,41.6809,-71.5118,351844,3376
South Carolina,33.8569,-80.945,1431067,16136
South Dakota,44.2998,-99.4388,232725,2730
Tennessee,35.7478,-86.6923,1971227,23336
Texas,31.0545,-97.5635,6492275,82210
Utah,40.15,-111.8624,910900,4261
Vermont,44.0459,-72.7107,108969,566
Virgin Islands,18.3358,-64.8963,15182,105
Virginia,37.7693,-78.17,1602677,17482
Washington,47.4009,-121.4905,1410596,11316
West Virginia,38.4912,-80.9545,476060,5992
Wisconsin,44.2685,-89.6165,1553551,12877
Wyoming,42.756,-107.3025,152581,1667
Alabama,32.3182,-86.9023,896614,16455
Alaska,61.3707,-152.4044,157169,978
American Samoa,-14.271,-170.132,10,0
Arizona,33.7298,-111.4312,1381488,24229
Arkansas,34.9697,-92.3731,566486,9148
California,36.1162,-119.6816,5517985,76440
Colorado,39.0598,-105.3111,1001343,10806
Connecticut,41.5978,-72.7554,510188,9160
Delaware,39.3185,-75.5071,180366,2286
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,94286,1211
Florida,27.7663,-81.6868,4209927,62504
Georgia,33.0406,-83.6431,1839879,31443
Grand Princess,,,103,3
Guam,13.4443,144.7937,19607,270
Hawaii,21.0943,-157.4983,112932,1090
Idaho,44.2405,-114.4788,319382,4162
Illinois,40.3495,-88.9861,2149574,31017
Indiana,39.8494,-86.2583,1246854,19037
Iowa,42.0115,-93.2105,575501,7858
Kansas,38.5266,-96.7265,520134,7006
Kentucky,37.6681,-84.6701,856145,12118
Louisiana,31.1695,-91.8678,828695,14986
Maine,44.6939,-69.3819,146736,1531
Maryland,39.0639,-76.8021,720814,11758
Massachusetts,42.2302,-71.5301,1140614,16706
Michigan,43.3266,-84.5361,1710325,29020
Minnesota,45.6945,-93.9002,1022212,10656
Mississippi,32.7416,-89.6787,543737,10450
Missouri,38.4561,-92.2884,1013458,16227
Montana,46.9219,-110.4544,197724,2906
Nebraska,41.1254,-98.2681,338257,3338
Nevada,38.3135,-117.0554,484641,8419
New Hampshire,43.4525,-71.5639,198667,1961
New Jersey,40.2989,-74.521,1564253,29037
New Mexico,34.8405,-106.2485,350043,5855
New York,42.1657,-74.9481,3480280,59508
North Carolina,35.6301,-79.8064,1686667,19426
North Dakota,47.5289,-99.784,174359,2057
Northern Mariana Islands,15.0979,145.6739,3255,13
Ohio,40.3888,-82.7649,2016082,31898
Oklahoma,35.5653,-96.9289,708938,12419
Oregon,44.572,-122.0709,421263,5655
Pennsylvania,40.5908,-77.2098,2036424,36705
Puerto Rico,18.2208,-66.5901,272724,3305
Rhode Island,41.6809,-71.5118,231096,3066
South Carolina,33.8569,-80.945,975320,14636
South Dakota,44.2998,-99.4388,179204,2486
Tennessee,35.7478,-86.6923,1436101,20762
Texas,31.0545,-97.5635,4626751,75640
Utah,40.15,-111.8624,636992,3787
Vermont,44.0459,-72.7107,64447,471
Virgin Islands,18.3358,-64.8963,9648,89
Virginia,37.7693,-78.17,1118518,15587
Washington,47.4009,-121.4905,849075,9853
West Virginia,38.4912,-80.9545,328162,5336
Wisconsin,44.2685,-89.6165,1120663,11173
Wyoming,42.756,-107.3025,115638,1526
Alabama,32.3182,-86.9023,888563,16455
Alaska,61.3707,-152.4044,157169,978
American Samoa,-14.271,-170.132,10,0
Arizona,33.7298,-111.4312,1368080,24171
Arkansas,34.9697,-92.3731,562529,9131
California,36.1162,-119.6816,5481885,76357
Colorado,39.0598,-105.3111,992850,10779
Connecticut,41.5978,-72.7554,510188,9160
Delaware,39.3185,-75.5071,176863,2286
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,94286,1211
Florida,27.7663,-81.6868,4090000,62480
Georgia,33.0406,-83.6431,1816441,31418
Grand Princess,,,103,3
Guam,13.4443,144.7937,19607,270
Hawaii,21.0943,-157.4983,109642,1085
Idaho,44.2405,-114.4788,319382,4162
Illinois,40.3495,-88.9861,2149574,30995
Indiana,39.8494,-86.2583,1246854,19037
Iowa,42.0115,-93.2105,575501,7858
Kansas,38.5266,-96.7265,520134,7006
Kentucky,37.6681,-84.6701,856145,12118
Louisiana,31.1695,-91.8678,828695,14986
Maine,44.6939,-69.3819,145629,1527
Maryland,39.0639,-76.8021,707707,11758
Massachusetts,42.2302,-71.5301,1117911,16655
Michigan,43.3266,-84.5361,1710325,29020
Minnesota,45.6945,-93.9002,1022212,10656
Mississippi,32.7416,-89.6787,543737,10450
Missouri,38.4561,-92.2884,1012928,16221
Montana,46.9219,-110.4544,197724,2906
Nebraska,41.1254,-98.2681,338257,3338
Nevada,38.3135,-117.0554,484641,8419
New Hampshire,43.4525,-71.5639,198667,1961
New Jersey,40.2989,-74.521,1530529,29000
New Mexico,34.8405,-106.2485,350043,5855
New York,42.1657,-74.9481,3402190,59434
North Carolina,35.6301,-79.8064,1667493,19399
North Dakota,47.5289,-99.784,173906,2052
Northern Mariana Islands,15.0979,145.6739,3085,13
Ohio,40.3888,-82.7649,1995497,31770
Oklahoma,35.5653,-96.9289,704964,12419
Oregon,44.572,-122.0709,421263,5655
Pennsylvania,40.5908,-77.2098,2015367,36639
Puerto Rico,18.2208,-66.5901,257948,3298
Rhode Island,41.6809,-71.5118,231096,3066
South Carolina,33.8569,-80.945,966259,14617
South Dakota,44.2998,-99.4388,179204,2486
Tennessee,35.7478,-86.6923,1424826,20761
Texas,31.0545,-97.5635,4610880,75639
Utah,40.15,-111.8624,636992,3787
Vermont,44.0459,-72.7107,64447,471
Virgin Islands,18.3358,-64.8963,9055,89
Virginia,37.7693,-78.17,1100900,15565
Washington,47.4009,-121.4905,849075,9853
West Virginia,38.4912,-80.9545,328162,5336
Wisconsin,44.2685,-89.6165,1112655,11151
Wyoming,42.756,-107.3025,115638,1526
Alabama,32.3182,-86.9023,833009,15629
Alaska,61.3707,-152.4044,139925,734
American Samoa,-14.271,-170.132,4,0
Arizona,33.7298,-111.4312,1172105,21156
Arkansas,34.9697,-92.3731,513993,8412
California,36.1162,-119.6816,4934977,72148
Colorado,39.0598,-105.3111,766147,8965
Connecticut,41.5978,-72.7554,403827,8776
Delaware,39.3185,-75.5071,144473,2095
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,64541,1193
Florida,27.7663,-81.6868,3690812,59670
Georgia,33.0406,-83.6431,1637571,29237
Grand Princess,,,103,3
Guam,13.4443,144.7937,18321,242
Hawaii,21.0943,-157.4983,84402,916
Idaho,44.2405,-114.4788,293241,3577
Illinois,40.3495,-88.9861,1704047,28719
Indiana,39.8494,-86.2583,1027298,16783
Iowa,42.0115,-93.2105,488885,6965
Kansas,38.5266,-96.7265,436487,6424
Kentucky,37.6681,-84.6701,746588,9834
Louisiana,31.1695,-91.8678,760246,14565
Maine,44.6939,-69.3819,105121,1179
Maryland,39.0639,-76.8021,562200,10913
Massachusetts,42.2302,-71.5301,856494,15530
Michigan,43.3266,-84.5361,1285518,23730
Minnesota,45.6945,-93.9002,805015,8842
Mississippi,32.7416,-89.6787,505266,10129
Missouri,38.4561,-92.2884,861943,12678
Montana,46.9219,-110.4544,178114,2380
Nebraska,41.1254,-98.2681,286373,2984
Nevada,38.3135,-117.0554,441146,7667
New Hampshire,43.4525,-71.5639,137156,1572
New Jersey,40.2989,-74.521,1200953,28004
New Mexico,34.8405,-106.2485,278509,5073
New York,42.1657,-74.9481,2567747,56533
North Carolina,35.6301,-79.8064,1483678,18130
North Dakota,47.5289,-99.784,149588,1810
Northern Mariana Islands,15.0979,145.6739,312,3
Ohio,40.3888,-82.7649,1551705,26206
Oklahoma,35.5653,-96.9289,646132,10710
Oregon,44.572,-122.0709,368696,4405
Pennsylvania,40.5908,-77.2098,1587165,31530
Puerto Rico,18.2208,-66.5901,185435,3236
Rhode Island,41.6809,-71.5118,180187,2881
South Carolina,33.8569,-80.945,899912,13766
South Dakota,44.2998,-99.4388,155603,2249
Tennessee,35.7478,-86.6923,1282608,16393
Texas,31.0545,-97.5635,4278334,71306
Utah,40.15,-111.8624,554311,3248
Vermont,44.0459,-72.7107,40513,369
Virgin Islands,18.3358,-64.8963,7233,81
Virginia,37.7693,-78.17,929244,14020
Washington,47.4009,-121.4905,731894,8693
West Virginia,38.4912,-80.9545,273659,4475
Wisconsin,44.2685,-89.6165,890607,9467
Wyoming,42.756,-107.3025,103926,1207
Alabama,32.3182,-86.9023,833493,15676
Alaska,61.3707,-152.4044,140601,737
American Samoa,-14.271,-170.132,4,0
Arizona,33.7298,-111.4312,1175520,21273
Arkansas,34.9697,-92.3731,514539,8434
California,36.1162,-119.6816,4940469,72241
Colorado,39.0598,-105.3111,770069,9007
Connecticut,41.5978,-72.7554,404218,8776
Delaware,39.3185,-75.5071,144755,2096
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,64602,1193
Florida,27.7663,-81.6868,3690812,59670
Georgia,33.0406,-83.6431,1638606,29310
Grand Princess,,,103,3
Guam,13.4443,144.7937,18410,245
Hawaii,21.0943,-157.4983,84578,919
Idaho,44.2405,-114.4788,294485,3600
Illinois,40.3495,-88.9861,1705793,28759
Indiana,39.8494,-86.2583,1029339,16841
Iowa,42.0115,-93.2105,491052,7069
Kansas,38.5266,-96.7265,438703,6451
Kentucky,37.6681,-84.6701,748202,9856
Louisiana,31.1695,-91.8678,760691,14585
Maine,44.6939,-69.3819,105781,1193
Maryland,39.0639,-76.8021,562896,10925
Massachusetts,42.2302,-71.5301,857959,15545
Michigan,43.3266,-84.5361,1297496,23879
Minnesota,45.6945,-93.9002,807956,8885
Mississippi,32.7416,-89.6787,505661,10134
Missouri,38.4561,-92.2884,863242,12687
Montana,46.9219,-110.4544,178980,2396
Nebraska,41.1254,-98.2681,287345,2987
Nevada,38.3135,-117.0554,441916,7676
New Hampshire,43.4525,-71.5639,137778,1581
New Jersey,40.2989,-74.521,1202251,28011
New Mexico,34.8405,-106.2485,279670,5085
New York,42.1657,-74.9481,2571761,56579
North Carolina,35.6301,-79.8064,1485455,18191
North Dakota,47.5289,-99.784,150189,1815
Northern Mariana Islands,15.0979,145.6739,312,3
Ohio,40.3888,-82.7649,1556208,26270
Oklahoma,35.5653,-96.9289,646763,10879
Oregon,44.572,-122.0709,369815,4469
Pennsylvania,40.5908,-77.2098,1591266,31711
Puerto Rico,18.2208,-66.5901,185553,3236
Rhode Island,41.6809,-71.5118,180488,2881
South Carolina,33.8569,-80.945,900464,13803
South Dakota,44.2998,-99.4388,156123,2253
Tennessee,35.7478,-86.6923,1283875,16425
Texas,31.0545,-97.5635,4283172,71461
Utah,40.15,-111.8624,556463,3262
Vermont,44.0459,-72.7107,40727,374
Virgin Islands,18.3358,-64.8963,7251,82
Virginia,37.7693,-78.17,930679,14052
Washington,47.4009,-121.4905,733535,8727
West Virginia,38.4912,-80.9545,274508,4490
Wisconsin,44.2685,-89.6165,893028,9495
Wyoming,42.756,-107.3025,104403,1243
Alabama,32.3182,-86.9023,659750,12000
Alaska,61.3707,-152.4044,83156,414
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,982775,18597
Arkansas,34.9697,-92.3731,434027,6645
California,36.1162,-119.6816,4323639,64723
Colorado,39.0598,-105.3111,609311,7281
Connecticut,41.5978,-72.7554,365856,8337
Delaware,39.3185,-75.5071,116461,1854
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,53342,1155
Florida,27.7663,-81.6868,3071489,42252
Georgia,33.0406,-83.6431,1307084,22199
Grand Princess,,,103,3
Guam,13.4443,144.7937,9298,144
Hawaii,21.0943,-157.4983,55206,563
Idaho,44.2405,-114.4788,212939,2283
Illinois,40.3495,-88.9861,1482376,26223
Indiana,39.8494,-86.2583,817149,14228
Iowa,42.0115,-93.2105,395167,6226
Kansas,38.5266,-96.7265,356675,5498
Kentucky,37.6681,-84.6701,537817,7532
Louisiana,31.1695,-91.8678,649915,11918
Maine,44.6939,-69.3819,73660,924
Maryland,39.0639,-76.8021,485978,9938
Massachusetts,42.2302,-71.5301,743735,14703
Michigan,43.3266,-84.5361,1040673,21393
Minnesota,45.6945,-93.9002,633556,7853
Mississippi,32.7416,-89.6787,406249,7991
Missouri,38.4561,-92.2884,742751,10658
Montana,46.9219,-110.4544,122318,1755
Nebraska,41.1254,-98.2681,237492,2302
Nevada,38.3135,-117.0554,378700,6280
New Hampshire,43.4525,-71.5639,104571,1397
New Jersey,40.2989,-74.521,1072856,26750
New Mexico,34.8405,-106.2485,223796,4472
New York,42.1657,-74.9481,2233083,54012
North Carolina,35.6301,-79.8064,1144894,14059
North Dakota,47.5289,-99.784,114570,1582
Northern Mariana Islands,15.0979,145.6739,183,2
Ohio,40.3888,-82.7649,1178792,21085
Oklahoma,35.5653,-96.9289,524376,7676
Oregon,44.572,-122.0709,252977,3012
Pennsylvania,40.5908,-77.2098,1280883,28074
Puerto Rico,18.2208,-66.5901,163795,2738
Rhode Island,41.6809,-71.5118,159710,2753
South Carolina,33.8569,-80.945,681659,10213
